Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Liechtenstein,0.77,0.78,0.75,0.72,0.73,0.72,0.73,0.72,0.73,0.69,0.67,0.71,0.72,0.71,0.73,0.75,0.78,0.79,0.8,0.79,0.76,0.78,0.8,0.76,0.74,0.73,0.74,0.72,0.73,141.63,98.4,99.6,149.6,150.28
Lithuania,280.24,271.82,237.09,207.1,186.72,177.41,174.26,174.69,170.03,160.02,154.44,151.47,153.58,155.86,156.64,156.38,156.36,154.89,152.27,148.38,147.37,140.96,141.32,138.62,138.87,136.98,133.3,131.08,122.57,159.68,110.64,109.49,167.66,159.78
Luxembourg,23.27,23.77,23.13,23.32,22.82,23.46,23.81,23.6,23.5,23.7,23.42,23.63,23.61,23.18,23.05,23.01,22.86,23.21,23.62,23.67,23.67,22.69,22.37,22.54,23.06,23.3,23.45,23.75,23.51,142.89,100.19,100.58,151.52,152.38
Madagascar,,,,,7755.09,,,,,,6919.5,,,,,10489.5,11488.06,11493.12,10846.65,11003.31,11192.38,,,,,,,,,,,,,
Malawi,7043.61,,,,3945.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,9964.91,26472.72,27866.28,31781.65,33588.63,35304.62,39159.75,42083.91,43813.9,46828.59,49116.56,50703.88,50966.26,51879.88,54653.11,58182.6,60520.05,61759.12,64087.67,63688.28,67342.39,67532.02,,,,,,,,,,,,
Maldives,,,,,23.98,,,,,,,,,,,,,,,,,31.79,32.38,33.41,38.85,42.27,,,,,,,,
Mali,,,,,,7157.18,,,,,8849.21,,,,,,,,,,13544.33,,,,,,,,,,,,,
Malta,4.21,4.48,4.76,5.05,5.29,5.48,5.76,6.03,6.29,6.57,6.99,7.18,7.45,7.73,8.11,8.56,8.87,9.11,5.89,6.48,7.22,6.73,6.66,6.25,6.9,7.28,7.63,7.62,7.99,142.0,98.91,99.95,150.27,151.24
Marshall Islands,,,,,,,,,,,39.59,,,,,35.41,,,,,42.08,,,,,,,,,,,,,
Mauritania,,,,,,3263.02,,,,,4146.73,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,,,,193.2,,,,,1233.57,1350.03,1280.8,1318.59,1323.84,1322.46,1521.03,,,,,,,1545.81,,,,,,,,,,
Mexico,64211.08,66616.76,65846.65,70593.27,71188.43,71968.35,76624.43,80242.55,81662.31,78330.83,81058.94,79135.38,80602.79,82648.47,82079.56,83369.19,86937.02,92355.6,104725.95,103507.4,100276.5,100244.7,95150.11,94148.43,,,,,,,,,,
Micronesia (Federated States of),,,,,7.12,,,,,,5.85,,,,,,,,,,,,,,,,,,,,,,,
Monaco,0.09,0.08,0.07,0.06,0.05,0.05,0.05,0.04,0.05,0.05,0.06,0.05,0.04,0.05,0.06,0.07,0.08,0.07,0.08,0.04,0.05,0.06,0.05,0.04,0.05,0.06,0.05,0.06,0.05,141.59,98.33,99.56,149.55,150.21
Mongolia,5636.4,5508.3,5445.3,5279.4,5649.0,6079.5,6289.5,6583.5,6837.6,,,,,,,,6528.9,,,,,,,,,,,,,,,,,
Montenegro,606.04,600.68,573.87,554.21,545.5,554.78,565.32,557.26,553.33,554.74,543.04,530.04,552.51,553.56,541.38,434.28,432.6,409.29,394.17,336.42,362.67,365.48,365.47,365.48,365.49,365.48,365.47,365.48,365.48,245.65,165.9,161.54,257.93,228.45
Morocco,,,,,7350.0,,,,,,9086.49,,,,,,,,,,15135.56,,16452.45,,,,,,,,,,,
Mozambique,4983.93,,,,5657.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,,,,,,,,,,,23182.76,23651.81,23956.5,24542.5,25207.0,26584.6,,,,,,,,,,,,,,,,,,
